Parameter,Value
GRIDSIZE_X,45
GRIDSIZE_Y,45
TIMESTEPS,10
BETA,1
BETA_LEADER,1
H,0
P_OCCUPATION,1
P_OPINION_1,0
S_MEAN,1
NUM_OF_S_LEADER_RANGE,8
NUM_OF_TEMP_RANGE,10
MAX_S_LEADER,500
MAX_TEMP,120
SIMULATION_TIMES,10

Leader Influence Strength,Mean Critical Temperature,Standard Deviation
0.0,116.0,8.537498983243795
71.42857142857143,105.33333333333333,13.920408678547396
142.85714285714286,104.0,18.666666666666664
214.28571428571428,88.0,26.127890589687233
285.7142857142857,57.33333333333333,6.110100926607787
357.14285714285717,60.0,20.0
428.57142857142856,40.0,0.0
500.0,28.0,3.9999999999999996
